code #,part #,model id,release,model #,cpu,gpu,emc,size,color
A1534,661-04746,MacBook9.1,Early 2016,MLH82LL/A,1.2 GHz Core M5-6Y54,HD Graphics 515,2991,12,SG
A1534,661-04746,MacBook9.1,Early 2016,BTO,1.3 GHz Core M7-6Y75,HD Graphics 515,2991,12,SG
A1534,661-04852,MacBook9.1,Early 2016,MMGL2LL/A,1.1 GHz Core M3-6Y30,HD Graphics 515,2991,12,Rose Gold
A1534,661-04852,MacBook9.1,Early 2016,MMGM2LL/A,1.2 GHz Core M5-6Y54,HD Graphics 515,2991,12,Rose Gold
A1534,661-04852,MacBook9.1,Early 2016,BTO,1.3 GHz Core M7-6Y75,HD Graphics 515,2991,12,Rose Gold
A1534,661-06785,MacBook10.1,Mid 2017,MNYF2LL/A,1.2 GHz Core M3-7Y32,HD Graphics 615,3099,12,SG
A1534,661-06785,MacBook10.1,Mid 2017,MNYG2LL/A,1.3 GHz Core i5-7Y54,HD Graphics 615,3099,12,SG
A1534,661-06785,MacBook10.1,Mid 2017,BTO,1.4 GHz Core i7-7Y75,HD Graphics 615,3099,12,SG
A1534,661-06786,MacBook10.1,Mid 2017,MNYH2LL/A,1.2 GHz Core M3-7Y32,HD Graphics 615,3099,12,Silver
A1534,661-06786,MacBook10.1,Mid 2017,MNYJ2LL/A,1.3 GHz Core i5-7Y54,HD Graphics 615,3099,12,Silver
A1534,661-06786,MacBook10.1,Mid 2017,BTO,1.4 GHz Core i7-7Y75,HD Graphics 615,3099,12,Silver
A1534,661-06787,MacBook10.1,Mid 2017,MNYK2LL/A,1.2 GHz Core M3-7Y32,HD Graphics 615,3099,12,Gold
A1534,661-06787,MacBook10.1,Mid 2017,MNYL2LL/A,1.3 GHz Core i5-7Y54,HD Graphics 615,3099,12,Gold
A1534,661-06787,MacBook10.1,Mid 2017,BTO,1.4 GHz Core i7-7Y75,HD Graphics 615,3099,12,Gold
A1534,661-06788,MacBook10.1,Mid 2017,MNYM2LL/A,1.2 GHz Core M3-7Y32,HD Graphics 615,3099,12,Rose Gold
A1534,661-06788,MacBook10.1,Mid 2017,MNYN2LL/A,1.3 GHz Core i5-7Y54,HD Graphics 615,3099,12,Rose Gold
A1534,661-06788,MacBook10.1,Mid 2017,BTO,1.4 GHz Core i7-7Y75,HD Graphics 615,3099,12,Rose Gold
! A1706
A1706,661-05323,MacBookPro13.2,Late 2016,MLH12LL/A,2.9 GHz Core i5-6267U,Iris Graphics 550,3071,13,SG
A1706,661-05323,MacBookPro13.2,Late 2016,MNQF2LL/A,2.9 GHz Core i5-6267U,Iris Graphics 550,3071,13,SG
A1706,661-05323,MacBookPro13.2,Late 2016,BTO,3.1 GHz Core i5-6287U,Iris Graphics 550,3071,13,SG
A1706,661-05323,MacBookPro13.2,Late 2016,BTO,3.3 GHz Core i7-6567U,Iris Graphics 550,3071,13,SG
A1706,661-05324,MacBookPro13.2,Late 2016,MLVP2LL/A,2.9 GHz Core i5-6267U,Iris Graphics 550,3071,13,Silver
A1706,661-05324,MacBookPro13.2,Late 2016,MNQG2LL/A,2.9 GHz Core i5-6267U,Iris Graphics 550,3071,13,Silver
A1706,661-05324,MacBookPro13.2,Late 2016,BTO,3.1 GHz Core i5-6287U,Iris Graphics 550,3071,13,Silver
A1706,661-05324,MacBookPro13.2,Late 2016,BTO,3.3 GHz Core i7-6567U,Iris Graphics 550,3071,13,Silver
A1706,661-07970,MacBookPro14.2,Mid 2017,MPXV2LL/A,3.1 GHz Core i5-7267U,Iris Plus Graphics 650,3163,13,SG
A1706,661-07970,MacBookPro14.2,Mid 2017,MPXW2LL/A,3.1 GHz Core i5-7267U,Iris Plus Graphics 650,3163,13,SG
A1706,661-07970,MacBookPro14.2,Mid 2017,BTO,3.3 GHz Core i5-7287U,Iris Plus Graphics 650,3163,13,SG
A1706,661-07970,MacBookPro14.2,Mid 2017,BTO,3.5 GHz Core i7-7567U,Iris Plus Graphics 650,3163,13,SG
A1706,661-07971,MacBookPro14.2,Mid 2017,MPXV2LL/A,3.1 GHz Core i5-7267U,Iris Plus Graphics 650,3163,13,Silver
A1706,661-07971,MacBookPro14.2,Mid 2017,MPXW2LL/A,3.1 GHz Core i5-7267U,Iris Plus Graphics 650,3163,13,Silver
A1706,661-07971,MacBookPro14.2,Mid 2017,BTO,3.3 GHz Core i5-7287U,Iris Plus Graphics 650,3163,13,Silver
A1706,661-07971,MacBookPro14.2,Mid 2017,BTO,3.5 GHz Core i7-7567U,Iris Plus Graphics 650,3163,13,Silver
! A1707
A1707,661-06375,MacBookPro13.3,Late 2016,MLH32LL/A,2.6 GHz Core i7-6700HQ,Radeon Pro 450,3072,15,SG
A1707,661-06375,MacBookPro13.3,Late 2016,MLH42LL/A,2.7 GHz Core i7-6820HQ,Radeon Pro 455,3072,15,SG
A1707,661-06375,MacBookPro13.3,Late 2016,BTO,2.9 GHz Core i7-6920HQ,Radeon Pro 450/455,3072,15,SG
A1707,661-06376,MacBookPro13.3,Late 2016,MLW72LL/A,2.6 GHz Core i7-6700HQ,Radeon Pro 450,3072,15,Silver
A1707,661-06376,MacBookPro13.3,Late 2016,MLW82LL/A,2.7 GHz Core i7-6820HQ,Radeon Pro 455,3072,15,Silver
A1707,661-06376,MacBookPro13.3,Late 2016,BTO,2.9 GHz Core i7-6920HQ,Radeon Pro 450/455,3072,15,Silver
A1707,661-08030,MacBookPro14.3,Mid 2017,MPTR2LL/A,2.8 GHz Core i7-7700HQ,Radeon Pro 555,3162,15,SG
A1707,661-08030,MacBookPro14.3,Mid 2017,MPTT2LL/A,2.9 GHz Core i7-7820HQ,Radeon Pro 560,3162,15,SG
A1707,661-08030,MacBookPro14.3,Mid 2017,BTO,3.1 GHz Core i7-7920HQ,Radeon Pro 555/560,3162,15,SG
A1707,661-08031,MacBookPro14.3,Mid 2017,MPTU2LL/A,2.8 GHz Core i7-7700HQ,Radeon Pro 555,3162,15,Silver
A1707,661-08031,MacBookPro14.3,Mid 2017,MPTV2LL/A,2.9 GHz Core i7-7820HQ,Radeon Pro 560,3162,15,Silver
A1707,661-08031,MacBookPro14.3,Mid 2017,BTO,3.1 GHz Core i7-7920HQ,Radeon Pro 555/560,3162,15,Silver
! A1708
A1708,661-05095,MacBookPro13.1,Late 2016,MLL42LL/A,2.0 GHz Core i5-6360U,Iris Graphics 540,2978,13,SG
A1708,661-05095,MacBookPro13.1,Late 2016,BTO,2.4 GHz Core i7-6660U,Iris Graphics 540,2978,13,SG
A1708,661-05095,MacBookPro14.1,Mid 2017,MPXQ2LL/A,2.3 GHz Core i5-7360U,Iris Plus Graphics 640,3164,13,SG
A1708,661-05095,MacBookPro14.1,Mid 2017,MPXT2LL/A,2.3 GHz Core i5-7360U,Iris Plus Graphics 640,3164,13,SG
A1708,661-05095,MacBookPro14.1,Mid 2017,BTO,2.5 GHz Core i7-7660U,Iris Plus Graphics 640,3164,13,SG
A1708,661-05096,MacBookPro13.1,Late 2016,MLUQ2LL/A,2.0 GHz Core i5-6360U,Iris Graphics 540,2978,13,Silver
A1708,661-05096,MacBookPro13.1,Late 2016,BTO,2.4 GHz Core i7-6660U,Iris Graphics 540,2978,13,Silver
A1708,661-05096,MacBookPro14.1,Mid 2017,MPXR2LL/A,2.3 GHz Core i5-7360U,Iris Plus Graphics 640,3164,13,Silver
A1708,661-05096,MacBookPro14.1,Mid 2017,MPXU2LL/A,2.3 GHz Core i5-7360U,Iris Plus Graphics 640,3164,13,Silver
A1708,661-05096,MacBookPro14.1,Mid 2017,BTO,2.5 GHz Core i7-7660U,Iris Plus Graphics 640,3164,13,Silver
! A1932
A1932,661-09733,MacBookAir8.1,Late 2018,MRE82LL/A,1.6 GHz Core i5-8210Y,UHD Graphics 617,3184,13,SG
A1932,661-09733,MacBookAir8.1,Late 2018,MRE92LL/A,1.6 GHz Core i5-8210Y,UHD Graphics 617,3184,13,SG
A1932,661-09734,MacBookAir8.1,Late 2018,MREA2LL/A,1.6 GHz Core i5-8210Y,UHD Graphics 617,3184,13,Silver
A1932,661-09734,MacBookAir8.1,Late 2018,MREC2LL/A,1.6 GHz Core i5-8210Y,UHD Graphics 617,3184,13,Silver
A1932,661-09735,MacBookAir8.1,Late 2018,MREE2LL/A,1.6 GHz Core i5-8210Y,UHD Graphics 617,3184,13,Gold
A1932,661-09735,MacBookAir8.1,Late 2018,MREF2LL/A,1.6 GHz Core i5-8210Y,UHD Graphics 617,3184,13,Gold
A1932,661-12586,MacBookAir8.2,Mid 2019,MVFH2LL/A,1.6 GHz Core i5-8210Y,UHD Graphics 617,3184,13,SG
A1932,661-12586,MacBookAir8.2,Mid 2019,MVFJ2LL/A,1.6 GHz Core i5-8210Y,UHD Graphics 617,3184,13,SG
A1932,661-12587,MacBookAir8.2,Mid 2019,MVFK2LL/A,1.6 GHz Core i5-8210Y,UHD Graphics 617,3184,13,Silver
A1932,661-12587,MacBookAir8.2,Mid 2019,MVFL2LL/A,1.6 GHz Core i5-8210Y,UHD Graphics 617,3184,13,Silver
A1932,661-12588,MacBookAir8.2,Mid 2019,MVFM2LL/A,1.6 GHz Core i5-8210Y,UHD Graphics 617,3184,13,Gold
A1932,661-12588,MacBookAir8.2,Mid 2019,MVFN2LL/A,1.6 GHz Core i5-8210Y,UHD Graphics 617,3184,13,Gold
! A1989/A2159
A1989,661-10037,MacBookPro15.2,Mid 2018,MR9Q2LL/A,2.3 GHz Core i5-8259U,Iris Plus Graphics 655,3214,13,SG
A1989,661-10037,MacBookPro15.2,Mid 2018,MR9R2LL/A,2.3 GHz Core i5-8259U,Iris Plus Graphics 655,3214,13,SG
A1989,661-10037,MacBookPro15.2,Mid 2018,BTO,2.7 GHz Core i7-8559U,Iris Plus Graphics 655,3214,13,SG
