model_code,part_number,model_identifier,release,model_number,cpu,emc,size,color
A1990,661-10356,MacBookPro15.1,Mid 2018,MR962LL/A,2.2 GHz Intel Core i7-8750H,3215,15,Silver
A1990,661-10356,MacBookPro15.1,Mid 2018,MR972LL/A,2.6 GHz Intel Core i7-8850H,3215,15,Silver
A1990,661-10356,MacBookPro15.3,Mid 2018,BTO,2.6 GHz Intel Core i7-8850H,3215,15,Silver
A1990,661-10356,MacBookPro15.1,Mid 2018,BTO,2.9 GHz Intel Core i9-8950H,3215,15,Silver
A1990,661-10356,MacBookPro15.3,Mid 2018,BTO,2.9 GHz Intel Core i9-8950H,3215,15,Silver
A1990,661-10356,MacBookPro15.1,Mid 2019,MV932LL/A,2.3 GHz Intel Core i9-9880H,3359,15,Silver
A1990,661-10356,MacBookPro15.3,Mid 2019,BTO,2.3 GHz Intel Core i9-9880H,3359,15,Silver
A1990,661-10356,MacBookPro15.1,Mid 2019,BTO,2.4 GHz Intel Core i9-9980H,3359,15,Silver
A1990,661-10356,MacBookPro15.3,Mid 2019,BTO,2.4 GHz Intel Core i9-9980H,3359,15,Silver
A1990,661-10356,MacBookPro15.1,Mid 2019,MV922LL/A,2.6 GHz Intel Core i7-9750H,3359,15,Silver
# A2141
A2141,661-14200,MacBookPro16.1,2019,MVVK2LL/A,2.3 GHz Intel Core i9-9880H,3347,16,Space Gray
A2141,661-14200,MacBookPro16.1,2019,BTO,2.4 GHz Intel Core i9-9980HK,3347,16,Space Gray
A2141,661-14200,MacBookPro16.1,2019,MVVJ2LL/A,2.6 GHz Intel Core i7-9750H,3347,16,Space Gray
A2141,661-14200,MacBookPro16.4,2020,BTO,2.3 GHz Intel Core i9-9880H,3347,16,Space Gray
A2141,661-14200,MacBookPro16.4,2020,BTO,2.6 GHz Intel Core i7-9750H,3347,16,Space Gray
A2141,661-14201,MacBookPro16.1,2019,MVVM2LL/A,2.3 GHz Intel Core i9-9880H,3347,16,Silver
A2141,661-14201,MacBookPro16.1,2019,BTO,2.4 GHz Intel Core i9-9980HK,3347,16,Silver
A2141,661-14201,MacBookPro16.1,2019,MVVL2LL/A,2.6 GHz Intel Core i7-9750H,3347,16,Silver
A2141,661-14201,MacBookPro16.4,2020,BTO,2.3 GHz Intel Core i9-9880H,3347,16,Silver
A2141,661-14201,MacBookPro16.4,2020,BTO,2.6 GHz Intel Core i7-9750H,3347,16,Silver
# A2159/A1989
A2159,661-12829,MacBookPro15.4,2019,MUHN2LL/A,1.4 GHz Core i5-8257U,3301,13,Space Gray
A2159,661-12829,MacBookPro15.4,2019,MUHP2LL/A,1.4 GHz Core i5-8257U,3301,13,Space Gray
A2159/A1989,661-12829,MacBookPro15.2,Mid 2019,MV962LL/A,2.4 GHz Intel Core i5-8279U,3358,13,Space Gray
A2159/A1989,661-12829,MacBookPro15.2,Mid 2019,MV972LL/A,2.4 GHz Intel Core i5-8279U,3358,13,Space Gray
A2159/A1989,661-12829,MacBookPro15.2,Mid 2019,BTO,2.8 GHz Intel Core i7-8569U,3358,13,Space Gray
A2159,661-12830,MacBookPro15.4,2019,MUHQ2LL/A,1.4 GHz Core i5-8257U,3301,13,Silver
A2159,661-12830,MacBookPro15.4,2019,MUHR2LL/A,1.4 GHz Core i5-8257U,3301,13,Silver
A2159/A1989,661-12830,MacBookPro15.2,Mid 2019,MV962LL/A,2.4 GHz Intel Core i5-8279U,3358,13,Silver
A2159/A1989,661-12830,MacBookPro15.2,Mid 2019,MV972LL/A,2.4 GHz Intel Core i5-8279U,3358,13,Silver
A2159/A1989,661-12830,MacBookPro15.2,Mid 2019,BTO,2.8 GHz Intel Core i7-8569U,3358,13,Silver
# A2179
A2179,661-15389,MacBookAir9.1,2020,MWTJ2LL/A,1.1GHz Intel Core i3-1000NG4,3302,13,Space Gray
